id,hname,City,state,ZIP Code,county,total_amount,year,group
272,BAYLOR MEDICAL CENTER AT IRVING,IRVING,TX,75061,DALLAS,21,0,low
273,BAYLOR MEDICAL CENTER AT TROPHY CLUB,TROPHY CLUB,TX,76262,DENTON,21,0,low
274,BAYLOR MEDICAL CENTER AT UPTOWN,DALLAS,TX,75204,DALLAS,20,0,low
275,BAYLOR ORTHOPEDIC AND SPINE HOSPITAL AT ARLINGTON,ARLINGTON,TX,76015,TARRANT,20,0,low
276,BAYLOR REGIONAL MEDICAL CENTER AT PLANO,PLANO,TX,75093,COLLIN,20,0,low
277,BAYLOR SCOTT & WHITE EMERGENCY MEDICAL CENTER AT C,CEDAR PARK,TX,78613,WILLIAMSON,20,0,low
278,BAYLOR SCOTT & WHITE MEDICAL CENTER  GRAPEVINE,GRAPEVINE,TX,76051,TARRANT,20,0,low
279,BAYLOR SCOTT & WHITE MEDICAL CENTER - LLANO,LLANO,TX,78643,LLANO,20,0,low
280,BAYLOR SCOTT & WHITE MEDICAL CENTER GARLAND,GARLAND,TX,75042,DALLAS,20,0,low
281,BAYLOR SCOTT & WHITE MEDICAL CENTER- WAXAHACHIE,WAXAHACHIE,TX,75165,ELLIS,22,1,medium
282,BAYLOR SCOTT AND WHITE  MEDICAL CENTER  MCKINNEY,MC KINNEY,TX,75071,COLLIN,20,0,low
283,BAYLOR SCOTT AND WHITE ALL SAINTS MEDICAL CENTER,FORT WORTH,TX,76104,TARRANT,21,0,low
284,BAYLOR SURGICAL HOSPITAL AT FORT WORTH,FORT WORTH,TX,76110,TARRANT,22,1,medium
285,BAYLOR SURGICAL HOSPITAL AT LAS COLINAS,IRVING,TX,75063,DALLAS,21,0,low
286,BAYLOR UNIVERSITY MEDICAL CENTER,DALLAS,TX,75246,DALLAS,23,1,medium
287,BAYSHORE COMMUNITY HOSPITAL,HOLMDEL,NJ,7733,MONMOUTH,20,0,low
288,BAYSHORE MEDICAL CENTER,PASADENA,TX,77504,HARRIS,20,0,low
289,BAYSIDE COMMUNITY HOSPITAL,ANAHUAC,TX,77514,CHAMBERS,30,1,medium
290,BAYSTATE FRANKLIN MEDICAL CENTER,GREENFIELD,MA,1301,FRANKLIN,20,0,low
291,BAYSTATE MARY LANE HOSPITAL,WARE,MA,1082,HAMPSHIRE,20,0,low
292,BAYSTATE MEDICAL CENTER,SPRINGFIELD,MA,1199,HAMPDEN,21,0,low
293,BAYSTATE WING HOSPITAL AND MEDICAL CENTERS,PALMER,MA,1069,HAMPDEN,21,0,low
294,BEACHAM MEMORIAL HOSPITAL,MAGNOLIA,MS,39652,PIKE,31,1,medium
295,BEAR RIVER VALLEY HOSPITAL,TREMONTON,UT,84337,BOX ELDER,20,0,low
296,BEAR VALLEY COMMUNITY HOSPITAL,BIG BEAR LAKE,CA,92315,SAN BERNARDINO,74,1,medium
297,"BEATRICE COMMUNITY HOSPITAL & HEALTH CENTER, INC",BEATRICE,NE,68310,GAGE,27,1,medium
298,BEAUFORT COUNTY MEMORIAL HOSPITAL,BEAUFORT,SC,29902,BEAUFORT,21,0,low
299,"BEAUMONT HOSPITAL, GROSSE POINTE",GROSSE POINTE,MI,48230,WAYNE,20,0,low
300,"BEAUMONT HOSPITAL, ROYAL OAK",ROYAL OAK,MI,48073,OAKLAND,20,0,low
301,"BEAUMONT HOSPITAL, TROY",TROY,MI,48085,OAKLAND,20,0,low
302,BEAUREGARD MEMORIAL HOSPITAL,DERIDDER,LA,70634,BEAUREGARD,22,1,medium
303,BEAVER DAM COMMUNITY HOSPITAL,BEAVER DAM,WI,53916,DODGE,20,0,low
304,BEAVER VALLEY HOSPITAL,BEAVER,UT,84713,BEAVER,21,0,low
305,BECKLEY ARH HOSPITAL,BECKLEY,WV,25801,RALEIGH,21,0,low
306,BECKLEY VA MEDICAL CENTER,BECKLEY,WV,25801,RALEIGH,109,1,medium
307,BEDFORD MEMORIAL HOSPITAL,BEDFORD,VA,24523,Bedford City,21,0,low
308,BEDFORD VA MEDICAL CENTER,BEDFORD,MA,1730,MIDDLESEX,93,1,medium
309,BEEBE MEDICAL CENTER,LEWES,DE,19958,SUSSEX,21,0,low
310,BELL HOSPITAL,ISHPEMING,MI,49849,MARQUETTE,28,1,medium
311,BELLA VISTA HOSPITAL,MAYAGUEZ,PR,681,MAYAGUEZ,22,1,medium
312,BELLEVUE HOSPITAL,BELLEVUE,OH,44811,SANDUSKY,21,0,low
313,BELLEVUE HOSPITAL CENTER,NEW YORK,NY,10016,NEW YORK,20,0,low
314,BELLEVUE MEDICAL CENTER DBA NEBRASKA MEDICINE-BELL,BELLEVUE,NE,68123,SARPY,21,0,low
315,BELLIN HEALTH OCONTO HOSPITAL,OCONTO,WI,54153,OCONTO,20,0,low
316,BELLIN MEMORIAL HOSPITAL,GREEN BAY,WI,54305,BROWN,20,0,low
317,BELLVILLE GENERAL HOSPITAL,BELLVILLE,TX,77418,AUSTIN,21,0,low
318,BELMONT COMMUNITY HOSPITAL,BELLAIRE,OH,43906,BELMONT,21,0,low
319,BELOIT MEMORIAL HOSPITAL,BELOIT,WI,53511,ROCK,23,1,medium
320,BELTON REGIONAL MEDICAL CENTER,BELTON,MO,64012,CASS,21,0,low
321,BENEFIS HOSPITALS INC,GREAT FALLS,MT,59405,CASCADE,20,0,low
322,BENEWAH COMMUNITY HOSPITAL,ST MARIES,ID,83861,BENEWAH,20,0,low
323,BENSON HOSPITAL,BENSON,AZ,85602,COCHISE,112,1,medium
324,BERGEN REGIONAL MEDICAL CENTER,PARAMUS,NJ,7652,BERGEN,24,1,medium
325,BERGER HOSPITAL,CIRCLEVILLE,OH,43113,PICKAWAY,21,0,low
326,BERKELEY MEDICAL CENTER,MARTINSBURG,WV,25401,BERKELEY,20,0,low
327,BERKSHIRE MEDICAL CENTER INC,PITTSFIELD,MA,1201,BERKSHIRE,20,0,low
328,BERLIN MEMORIAL HOSPITAL,BERLIN,WI,54923,GREEN LAKE,26,1,medium
329,BERT FISH MEDICAL CENTER,NEW SMYRNA BEACH,FL,32170,VOLUSIA,20,0,low
330,BERTRAND CHAFFEE HOSPITAL,SPRINGVILLE,NY,14141,ERIE,21,0,low
331,BERWICK HOSPITAL CENTER,BERWICK,PA,18603,COLUMBIA,20,0,low
332,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,NEEDHAM,MA,2494,NORFOLK,20,0,low
333,BETH ISRAEL DEACONESS HOSPITAL - PLYMOUTH,PLYMOUTH,MA,2360,PLYMOUTH,20,0,low
334,BETH ISRAEL DEACONESS HOSPITAL-MILTON INC,MILTON,MA,2186,NORFOLK,20,0,low
335,BETH ISRAEL DEACONESS MEDICAL CENTER,BOSTON,MA,2215,SUFFOLK,20,0,low
336,BETH ISRAEL MEDICAL CENTER,NEW YORK,NY,10003,NEW YORK,22,1,medium
337,BETHESDA HOSPITAL EAST,BOYNTON BEACH,FL,33435,PALM BEACH,20,0,low
338,BETHESDA NORTH,CINCINNATI,OH,45242,HAMILTON,20,0,low
339,BETSY JOHNSON REGIONAL  HOSPITAL,DUNN,NC,28334,HARNETT,21,0,low
340,BEVERLY HOSPITAL,MONTEBELLO,CA,90640,LOS ANGELES,20,0,low
341,BEVERLY HOSPITAL CORPORATION,BEVERLY,MA,1915,ESSEX,22,1,medium
342,BIBB MEDICAL CENTER,CENTREVILLE,AL,35042,BIBB,21,0,low
343,BIG BEND REGIONAL MEDICAL CENTER,ALPINE,TX,79830,BREWSTER,20,0,low
344,BIG HORN CO MEMORIAL HOSPITAL,HARDIN,MT,59034,BIG HORN,105,1,medium
345,BIGFORK VALLEY HOSPITAL,BIGFORK,MN,56628,ITASCA,20,0,low
346,BILLINGS CLINIC HOSPITAL,BILLINGS,MT,59101,YELLOWSTONE,20,0,low
347,BINGHAM MEMORIAL HOSPITAL,BLACKFOOT,ID,83221,BINGHAM,63,1,medium
348,BIRMINGHAM VA MEDICAL CENTER,BIRMINGHAM,AL,35233,JEFFERSON,111,1,medium
349,BLACK HILLS SURGICAL HOSPITAL LLP,RAPID CITY,SD,57703,PENNINGTON,103,1,medium
350,BLACK RIVER COMMUNITY MEDICAL CENTER,POPLAR BLUFF,MO,63901,BUTLER,23,1,medium
351,BLACK RIVER MEMORIAL HOSPITAL,BLACK RIVER FALLS,WI,54615,JACKSON,27,1,medium
352,BLACKWELL REGIONAL HOSPITAL,BLACKWELL,OK,74631,KAY,20,0,low
353,BLAKE MEDICAL CENTER,BRADENTON,FL,34209,MANATEE,20,0,low
354,BLANCHARD VALLEY HOSPITAL,FINDLAY,OH,45840,HANCOCK,20,0,low
355,BLECKLEY MEMORIAL HOSPITAL,COCHRAN,GA,31014,BLECKLEY,20,0,low
356,BLESSING HOSPITAL,QUINCY,IL,62301,ADAMS,20,0,low
357,BLOUNT MEMORIAL HOSPITAL,MARYVILLE,TN,37804,BLOUNT,22,1,medium
358,BLUE HILL MEMORIAL HOSPITAL,BLUE HILL,ME,4614,HANCOCK,106,1,medium
359,BLUE MOUNTAIN HOSPITAL,JOHN DAY,OR,97845,GRANT,62,1,medium
360,BLUEFIELD REGIONAL MEDICAL CENTER,BLUEFIELD,WV,24701,MERCER,23,1,medium
361,BLUEGRASS COMMUNITY HOSPITAL,VERSAILLES,KY,40383,WOODFORD,20,0,low
362,BLUFFTON HOSPITAL,BLUFFTON,OH,45817,ALLEN,20,0,low
363,BLUFFTON REGIONAL MEDICAL CENTER,BLUFFTON,IN,46714,WELLS,20,0,low
364,BOB WILSON MEMORIAL GRANT COUNTY HOSPITAL,ULYSSES,KS,67880,GRANT,20,0,low
365,BOCA RATON REGIONAL HOSPITAL,BOCA RATON,FL,33486,PALM BEACH,20,0,low
366,BOISE VA MEDICAL CENTER,BOISE,ID,83702,ADA,116,2,high
367,BOLIVAR GENERAL HOSPITAL,BOLIVAR,TN,38008,HARDEMAN,22,1,medium
368,BOLIVAR MEDICAL CENTER,CLEVELAND,MS,38732,BOLIVAR,20,0,low
369,BON SECOURS COMMUNITY HOSPITAL,PORT JERVIS,NY,12771,ORANGE,20,0,low
370,BON SECOURS DEPAUL MEDICAL CENTER,NORFOLK,VA,23505,NORFOLK CITY,20,0,low
371,BON SECOURS HOSPITAL,BALTIMORE,MD,21223,BALTIMORE CITY,61,1,medium
372,BON SECOURS MARYVIEW MEDICAL CENTER,PORTSMOUTH,VA,23707,PORTSMOUTH CITY,20,0,low
373,BON SECOURS MEMORIAL REGIONAL MEDICAL CENTER,MECHANICSVILLE,VA,23116,HANOVER,21,0,low
374,BON SECOURS RICHMOND COMMUNITY HOSPITAL,RICHMOND,VA,23223,RICHMOND CITY,23,1,medium
375,BON SECOURS ST FRANCIS MEDICAL CENTER,MIDLOTHIAN,VA,23114,CHESTERFIELD,20,0,low
376,BON SECOURS ST MARYS HOSPITAL,RICHMOND,VA,23226,HENRICO,22,1,medium
377,BON SECOURS-ST FRANCIS XAVIER HOSPITAL,CHARLESTON,SC,29414,CHARLESTON,21,0,low
378,BONNER GENERAL HOSPITAL,SANDPOINT,ID,83864,BONNER,21,0,low
379,BOONE COUNTY HEALTH CENTER,ALBION,NE,68620,BOONE,111,1,medium
380,BOONE COUNTY HOSPITAL,BOONE,IA,50036,BOONE,31,1,medium
381,BOONE HOSPITAL CENTER,COLUMBIA,MO,65201,BOONE,22,1,medium
382,BOONE MEMORIAL HOSPITAL,MADISON,WV,25130,BOONE,84,1,medium
383,BORGESS MEDICAL CENTER,KALAMAZOO,MI,49048,KALAMAZOO,20,0,low
384,BORGESS-LEE MEMORIAL HOSPITAL,DOWAGIAC,MI,49047,CASS,21,0,low
385,BOSTON CHILDRENS HOSPITAL,BOSTON,MA,2115,SUFFOLK,105,1,medium
386,BOSTON MEDICAL CENTER CORPORATION,BOSTON,MA,2118,SUFFOLK,25,1,medium
387,BOTHWELL REGIONAL HEALTH CENTER,SEDALIA,MO,65302,PETTIS,20,0,low
388,BOTSFORD HOSPITAL,FARMINGTON HILLS,MI,48336,OAKLAND,20,0,low
389,BOULDER COMMUNITY FOOTHILLS HOSPITAL,BOULDER,CO,80304,BOULDER,20,0,low
390,BOURBON COMMUNITY HOSPITAL,PARIS,KY,40361,BOURBON,20,0,low
391,BOWIE MEMORIAL HOSPITAL,BOWIE,TX,76230,MONTAGUE,21,0,low
392,BOX BUTTE GENERAL HOSPITAL,ALLIANCE,NE,69301,BOX BUTTE,33,1,medium
393,BOZEMAN DEACONESS HOSPITAL,BOZEMAN,MT,59715,GALLATIN,20,0,low
394,BRADFORD REGIONAL MEDICAL CENTER,BRADFORD,PA,16701,MCKEAN,20,0,low
395,BRADLEY COUNTY MEDICAL CENTER,WARREN,AR,71671,BRADLEY,26,1,medium
396,BRANDON REGIONAL HOSPITAL,BRANDON,FL,33511,HILLSBOROUGH,20,0,low
397,BRANDYWINE HOSPITAL,COATESVILLE,PA,19320,CHESTER,21,0,low
398,BRATTLEBORO MEMORIAL HOSPITAL,BRATTLEBORO,VT,5301,WINDHAM,20,0,low
399,BRAXTON COUNTY MEMORIAL HOSPITAL,GASSAWAY,WV,26624,BRAXTON,105,1,medium
400,BRAZOSPORT REGIONAL HEALTH SYSTEM,LAKE JACKSON,TX,77566,BRAZORIA,25,1,medium
401,BRECKINRIDGE MEMORIAL HOSPITAL,HARDINSBURG,KY,40143,BRECKINRIDGE,70,1,medium
402,BRIDGEPORT HOSPITAL,BRIDGEPORT,CT,6610,FAIRFIELD,22,1,medium
403,BRIDGTON HOSPITAL,BRIDGTON,ME,4009,CUMBERLAND,120,2,high
404,BRIGHAM AND WOMENS FAULKNER HOSPITAL,BOSTON,MA,2130,SUFFOLK,21,0,low
405,BRIGHAM AND WOMENS HOSPITAL,BOSTON,MA,2115,SUFFOLK,21,0,low
406,BRIGHAM CITY COMMUNITY HOSPITAL,BRIGHAM CITY,UT,84302,BOX ELDER,20,0,low
407,BRIGHTON HOSPITAL,BRIGHTON,MI,48116,LIVINGSTON,104,1,medium
408,BRISTOL HOSPITAL,BRISTOL,CT,6010,HARTFORD,20,0,low
409,BRISTOW MEDICAL CENTER,BRISTOW,OK,74010,CREEK,22,1,medium
410,"BROADDUS HOSPITAL ASSOCIATION, INC",PHILIPPI,WV,26416,BARBOUR,115,2,high
411,BROADLAWNS MEDICAL CENTER,DES MOINES,IA,50314,POLK,20,0,low
412,BRODSTONE MEMORIAL HOSP,SUPERIOR,NE,68978,NUCKOLLS,111,1,medium
413,BRONSON BATTLE CREEK HOSPITAL,BATTLE CREEK,MI,49017,CALHOUN,22,1,medium
414,BRONSON LAKEVIEW HOSPITAL,PAW PAW,MI,49079,VAN BUREN,20,0,low
415,BRONSON METHODIST HOSPITAL,KALAMAZOO,MI,49007,KALAMAZOO,20,0,low
416,BRONX VA MEDICAL CENTER,BRONX,NY,10468,BRONX,103,1,medium
417,BRONX-LEBANON HOSPITAL CENTER,BRONX,NY,10456,BRONX,20,0,low
418,BROOKDALE HOSPITAL MEDICAL CENTER,BROOKLYN,NY,11212,KINGS,22,1,medium
419,BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,PATCHOGUE,NY,11772,SUFFOLK,20,0,low
420,BROOKINGS HEALTH SYSTEM,BROOKINGS,SD,57006,BROOKINGS,20,0,low
421,BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,BROOKLYN,NY,11201,KINGS,20,0,low
422,BROOKS MEMORIAL HOSPITAL,DUNKIRK,NY,14048,CHAUTAUQUA,22,1,medium
423,BROOKWOOD MEDICAL CENTER,BIRMINGHAM,AL,35209,JEFFERSON,20,0,low
424,BROWARD HEALTH CORAL SPRINGS,CORAL SPRINGS,FL,33065,BROWARD,20,0,low
425,BROWARD HEALTH IMPERIAL POINT,FORT LAUDERDALE,FL,33308,BROWARD,22,1,medium
426,BROWARD HEALTH MEDICAL CENTER,FORT LAUDERDALE,FL,33316,BROWARD,20,0,low
427,BROWARD HEALTH NORTH,POMPANO BEACH,FL,33064,BROWARD,20,0,low
428,BROWNFIELD REGIONAL MEDICAL CENTER,BROWNFIELD,TX,79316,TERRY,23,1,medium
429,BROWNWOOD REGIONAL MEDICAL CENTER,BROWNWOOD,TX,76801,BROWN,21,0,low
430,BRYAN MEDICAL CENTER,LINCOLN,NE,68506,LANCASTER,20,0,low
431,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,DEMOPOLIS,AL,36732,MARENGO,20,0,low
432,BUCHANAN COUNTY HEALTH CENTER,INDEPENDENCE,IA,50644,BUCHANAN,24,1,medium
433,BUCHANAN GENERAL HOSPITAL,GRUNDY,VA,24614,BUCHANAN,21,0,low
434,BUCKTAIL MEDICAL CENTER,RENOVO,PA,17764,CLINTON,31,1,medium
435,BUCYRUS COMMUNITY HOSPITAL,BUCYRUS,OH,44820,CRAWFORD,117,2,high
436,BUENA VISTA REGIONAL MEDICAL CENTER,STORM LAKE,IA,50588,BUENA VISTA,111,1,medium
437,BUFFALO HOSPITAL,BUFFALO,MN,55313,WRIGHT,20,0,low
438,BULLOCK COUNTY HOSPITAL,UNION SPRINGS,AL,36089,BULLOCK,20,0,low
439,BURGESS HEALTH CENTER,ONAWA,IA,51040,MONONA,111,1,medium
440,BURKE MEDICAL CENTER,WAYNESBORO,GA,30830,BURKE,21,0,low
441,BURNETT MEDICAL CENTER,GRANTSBURG,WI,54840,BURNETT,100,1,medium
442,BUTLER COUNTY HEALTH CARE CENTER,DAVID CITY,NE,68632,BUTLER,102,1,medium
443,BUTLER MEMORIAL HOSPITAL,BUTLER,PA,16001,BUTLER,20,0,low
444,BYRD REGIONAL HOSPITAL,LEESVILLE,LA,71446,VERNON,22,1,medium
445,CABELL HUNTINGTON HOSPITAL INC,HUNTINGTON,WV,25701,CABELL,20,0,low
446,CABINET PEAKS MEDICAL CENTER,LIBBY,MT,59923,LINCOLN,30,1,medium
447,CACHE VALLEY  HOSPITAL,NORTH LOGAN,UT,84341,CACHE,20,0,low
448,CALAIS REGIONAL HOSPITAL,CALAIS,ME,4619,WASHINGTON,22,1,medium
449,CALDWELL MEDICAL CENTER,PRINCETON,KY,42445,CALDWELL,112,1,medium
450,CALDWELL MEMORIAL HOSPITAL,LENOIR,NC,28645,CALDWELL,22,1,medium
451,"CALDWELL MEMORIAL HOSPITAL, INC",COLUMBIA,LA,71418,CALDWELL,20,0,low
452,CALHOUN HEALTH SERVICES,CALHOUN CITY,MS,38916,CALHOUN,21,0,low
453,CALIFORNIA HOSPITAL MEDICAL CENTER LA,LOS ANGELES,CA,90015,LOS ANGELES,20,0,low
454,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKES CAMPUS,SAN FRANCISCO,CA,94110,SAN FRANCISCO,21,0,low
455,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,SAN FRANCISCO,CA,94117,SAN FRANCISCO,21,0,low
456,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,SAN FRANCISCO,CA,94115,SAN FRANCISCO,20,0,low
457,CALLAHAN EYE HOSPITAL,BIRMINGHAM,AL,35233,JEFFERSON,20,0,low
458,CALLAWAY COMMUNITY HOSPITAL,FULTON,MO,65251,CALLAWAY,23,1,medium
459,CALUMET MEDICAL CENTER,CHILTON,WI,53014,CALUMET,112,1,medium
460,CALVERT MEMORIAL HOSPITAL,PRINCE FREDERICK,MD,20678,CALVERT,26,1,medium
461,CAMBRIDGE HEALTH ALLIANCE,CAMBRIDGE,MA,2138,MIDDLESEX,20,0,low
462,CAMBRIDGE MEDICAL CENTER,CAMBRIDGE,MN,55008,ISANTI,20,0,low
463,CAMDEN CLARK MEDICAL CENTER,PARKERSBURG,WV,26101,WOOD,26,1,medium
464,CAMDEN GENERAL HOSPITAL,CAMDEN,TN,38320,BENTON,96,1,medium
465,CAMERON MEMORIAL COMMUNITY HOSPITAL INC,ANGOLA,IN,46703,STEUBEN,26,1,medium
466,CAMERON REGIONAL MEDICAL CENTER,CAMERON,MO,64429,CLINTON,20,0,low
467,CAMPBELL COUNTY MEMORIAL HOSPITAL,GILLETTE,WY,82716,CAMPBELL,21,0,low
468,CANCER TREATMENT CENTERS OF AMERICA,PHILADELPHIA,PA,19124,PHILADELPHIA,37,1,medium
469,CANDLER COUNTY HOSPITAL,METTER,GA,30439,CANDLER,118,2,high
470,CANDLER HOSPITAL,SAVANNAH,GA,31412,CHATHAM,22,1,medium
471,CANNON MEMORIAL HOSPITAL,PICKENS,SC,29671,PICKENS,22,1,medium
472,CANONSBURG GENERAL HOSPITAL,CANONSBURG,PA,15317,WASHINGTON,21,0,low
473,CANTON-POTSDAM HOSPITAL,POTSDAM,NY,13676,SAINT LAWRENCE,21,0,low
474,CANYON VISTA MEDICAL CENTER,SIERRA VISTA,AZ,85635,COCHISE,20,0,low
475,CAPE CANAVERAL HOSPITAL,COCOA BEACH,FL,32932,BREVARD,20,0,low
476,CAPE COD HOSPITAL,HYANNIS,MA,2601,BARNSTABLE,20,0,low
477,CAPE CORAL HOSPITAL,CAPE CORAL,FL,33990,LEE,20,0,low
478,CAPE FEAR VALLEY MEDICAL CENTER,FAYETTEVILLE,NC,28302,CUMBERLAND,20,0,low
479,CAPE FEAR VALLEY-BLADEN COUNTY HOSPITAL,ELIZABETHTOWN,NC,28337,BLADEN,20,0,low
480,CAPE REGIONAL MEDICAL CENTER INC,CAPE MAY COURT HOUSE,NJ,8210,CAPE MAY,20,0,low
481,CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,PENNINGTON,NJ,8534,MERCER,21,0,low
482,CAPITAL HEALTH SYSTEM-FULD CAMPUS,TRENTON,NJ,8638,MERCER,20,0,low
483,CAPITAL MEDICAL CENTER,OLYMPIA,WA,98502,THURSTON,22,1,medium
484,CAPITAL REGION MEDICAL CENTER,JEFFERSON CITY,MO,65102,COLE,21,0,low
485,CAPITAL REGIONAL MEDICAL CENTER,TALLAHASSEE,FL,32308,LEON,20,0,low
486,CARE REGIONAL MEDICAL CENTER,ARANSAS PASS,TX,78336,SAN PATRICIO,30,1,medium
487,CAREPOINT HEALTH - BAYONNE MEDICAL CENTER,BAYONNE,NJ,7002,HUDSON,21,0,low
488,CAREPOINT HEALTH-CHRIST HOSPITAL,JERSEY CITY,NJ,7306,HUDSON,21,0,low
489,CAREPOINT HEALTH-HOBOKEN UNIVERSITY MEDICAL CENTER,HOBOKEN,NJ,7030,HUDSON,20,0,low
490,CARILION FRANKLIN MEMORIAL HOSPITAL,ROCKY MOUNT,VA,24151,FRANKLIN,22,1,medium
491,CARILION GILES COMMUNITY HOSPITAL,PEARISBURG,VA,24134,GILES,28,1,medium
492,CARILION NEW RIVER VALLEY MEDICAL CENTER,CHRISTIANSBURG,VA,24073,MONTGOMERY,20,0,low
493,CARILION ROANOKE MEMORIAL HOSPITAL,ROANOKE,VA,24014,ROANOKE CITY,21,0,low
494,CARILION STONEWALL JACKSON HOSPITAL,LEXINGTON,VA,24450,LEXINGTON CITY,114,1,medium
495,CARILION TAZEWELL COMMUNITY HOSPITAL,TAZEWELL,VA,24651,TAZEWELL,22,1,medium
496,CARLINVILLE AREA HOSPITAL,CARLINVILLE,IL,62626,MACOUPIN,27,1,medium
497,CARLISLE REGIONAL MEDICAL CENTER,CARLISLE,PA,17015,CUMBERLAND,20,0,low
498,CARLSBAD MEDICAL CENTER,CARLSBAD,NM,88220,EDDY,20,0,low
499,CARNEGIE TRI-COUNTY MUNICIPAL HOSPITAL,CARNEGIE,OK,73015,CADDO,81,1,medium
500,CARNEY HOSPITAL,BOSTON,MA,2124,SUFFOLK,21,0,low
501,CARO COMMUNITY HOSPITAL,CARO,MI,48723,TUSCOLA,28,1,medium
502,CAROLINA EAST MEDICAL CENTER,NEW BERN,NC,28560,CRAVEN,21,0,low
503,CAROLINA PINES REGIONAL MEDICAL CENTER,HARTSVILLE,SC,29550,DARLINGTON,20,0,low
504,CAROLINAS HEALTH CARE SYSTEM ANSON,WADESBORO,NC,28170,ANSON,22,1,medium
505,CAROLINAS HEALTHCARE SYSTEM CLEVELAND,SHELBY,NC,28150,CLEVELAND,20,0,low
506,CAROLINAS HEALTHCARE SYSTEM KINGS MOUNTAIN,KINGS MOUNTAIN,NC,28086,CLEVELAND,20,0,low
507,CAROLINAS HEALTHCARE SYSTEM LINCOLN,LINCOLNTON,NC,28092,LINCOLN,22,1,medium
508,CAROLINAS HEALTHCARE SYSTEM PINEVILLE,CHARLOTTE,NC,28210,MECKLENBURG,20,0,low
509,CAROLINAS HEALTHCARE SYSTEM UNION,MONROE,NC,28110,UNION,21,0,low
510,CAROLINAS HEALTHCARE SYSTEM-BLUE RIDGE,MORGANTON,NC,28655,BURKE,21,0,low
511,CAROLINAS HOSPITAL SYSTEM,FLORENCE,SC,29505,FLORENCE,20,0,low
512,CAROLINAS HOSPITAL SYSTEM MARION,MULLINS,SC,29574,MARION,20,0,low
513,CAROLINAS MED CTR-UNIVERSITY,CHARLOTTE,NC,28262,MECKLENBURG,21,0,low
514,CAROLINAS MEDICAL CENTER/BEHAV HEALTH,CHARLOTTE,NC,28203,MECKLENBURG,21,0,low
515,CAROLINAS MEDICAL CENTER-NORTHEAST,CONCORD,NC,28025,CABARRUS,20,0,low
516,CAROMONT REGIONAL MEDICAL CENTER,GASTONIA,NC,28052,GASTON,20,0,low
517,CARONDELET HOLY CROSS HOSPITAL,NOGALES,AZ,85621,SANTA CRUZ,20,0,low
518,CARONDELET ST JOSEPHS HOSPITAL,TUCSON,AZ,85711,PIMA,23,1,medium
519,CARONDELET ST. MARYS HOSPITAL,TUCSON,AZ,85745,PIMA,21,0,low
520,CARRINGTON HEALTH CENTER,CARRINGTON,ND,58421,FOSTER,28,1,medium
521,CARROLL COUNTY MEMORIAL HOSPITAL,CARROLLTON,MO,64633,CARROLL,58,1,medium
522,CARROLL COUNTY MEMORIAL HOSPITAL,CARROLLTON,KY,41008,CARROLL,85,1,medium
523,CARROLL HOSPITAL CENTER,WESTMINSTER,MD,21157,CARROLL,20,0,low
524,CARSON TAHOE REGIONAL MEDICAL CENTER,CARSON CITY,NV,89703,CARSON CITY,20,0,low
525,CARSON VALLEY MEDICAL CENTER,GARDNERVILLE,NV,89410,DOUGLAS,33,1,medium
526,CARTERET GENERAL HOSPITAL,MOREHEAD CITY,NC,28557,CARTERET,21,0,low
527,CARTERSVILLE MEDICAL CENTER,CARTERSVILLE,GA,30120,BARTOW,21,0,low
528,"CARTHAGE AREA HOSPITAL, INC",CARTHAGE,NY,13619,JEFFERSON,113,1,medium
529,CARY MEDICAL CENTER,CARIBOU,ME,4736,AROOSTOOK,20,0,low
530,CASCADE VALLEY HOSPITAL,ARLINGTON,WA,98223,SNOHOMISH,20,0,low
531,CASEY COUNTY HOSPITAL,LIBERTY,KY,42539,CASEY,22,1,medium
532,CASS COUNTY MEMORIAL HOSPITAL,ATLANTIC,IA,50022,CASS,25,1,medium
533,CASS REGIONAL MEDICAL CENTER,HARRISONVILLE,MO,64701,CASS,93,1,medium
534,CASSIA REGIONAL MEDICAL CENTER,BURLEY,ID,83318,CASSIA,21,0,low
535,CASTLE MEDICAL CENTER,KAILUA,HI,96734,HONOLULU,20,0,low
536,CASTLE ROCK ADVENTIST HOSPITAL,CASTLE ROCK,CO,80109,DOUGLAS,20,0,low
537,CASTLEVIEW HOSPITAL,PRICE,UT,84501,CARBON,22,1,medium
538,CATALINA ISLAND MEDICAL CENTER,AVALON,CA,90704,LOS ANGELES,103,1,medium
539,CATAWBA VALLEY MEDICAL CENTER,HICKORY,NC,28602,CATAWBA,20,0,low
540,CATHOLIC MEDICAL CENTER,MANCHESTER,NH,3102,HILLSBOROUGH,20,0,low
541,CATSKILL REGIONAL MEDICAL CENTER,HARRIS,NY,12742,SULLIVAN,20,0,low
